Gene	Annotation
N0.HOG0000154	histone H4
N0.HOG0000155	histone H4
N0.HOG0000156	histone H4
N0.HOG0000157	histone H4
N0.HOG0000158	histone H4
N0.HOG0000159	histone H4
N0.HOG0000160	histone H4
N0.HOG0000161	histone H4
N0.HOG0000162	histone H4
N0.HOG0000163	histone H4
N0.HOG0000164	histone H4
N0.HOG0000165	histone H4
N0.HOG0000166	histone H4
N0.HOG0000167	histone H4
N0.HOG0000168	histone H4
N0.HOG0000169	histone H4
N0.HOG0000170	histone H4
N0.HOG0000171	histone H4
N0.HOG0000172	histone H4
N0.HOG0000173	histone H4
N0.HOG0000174	histone H4
N0.HOG0000175	histone H4
N0.HOG0000176	vascular endothelial growth factor receptor 1-like
N0.HOG0000177	unnamed protein product
N0.HOG0000178	fibroblast growth factor receptor 2-like
N0.HOG0000179	vascular endothelial growth factor receptor 1 isoform X1
N0.HOG0000180	vascular endothelial growth factor receptor 1-like
N0.HOG0000181	vascular endothelial growth factor receptor 1-like
N0.HOG0000182	vascular endothelial growth factor receptor 1-like
N0.HOG0000183	unnamed protein product
N0.HOG0000184	vascular endothelial growth factor receptor 1-like
N0.HOG0000185	platelet-derived growth factor receptor alpha-like
N0.HOG0000186	vascular endothelial growth factor receptor 1-like
N0.HOG0000187	unnamed protein product
N0.HOG0000188	unnamed protein product
N0.HOG0000189	uncharacterized protein LOC130699685
N0.HOG0000190	unnamed protein product
N0.HOG0000191	adhesive plaque matrix protein-like
N0.HOG0000192	pro-resilin
N0.HOG0000193	cuticle protein 7-like
N0.HOG0000194	unnamed protein product
N0.HOG0000195	uncharacterized protein LOC124190614 isoform X1
N0.HOG0000196	uncharacterized protein LOC116928356
N0.HOG0000197	unnamed protein product
N0.HOG0000198	unnamed protein product
N0.HOG0000199	unnamed protein product
N0.HOG0000200	LOW QUALITY PROTEIN: uncharacterized protein LOC130695269
N0.HOG0000201	LOW QUALITY PROTEIN: uncharacterized protein LOC130691039
N0.HOG0000202	uncharacterized protein LOC130685703
N0.HOG0000203	LOW QUALITY PROTEIN: uncharacterized protein LOC116918685
N0.HOG0000204	unnamed protein product
N0.HOG0000205	unnamed protein product
N0.HOG0000206	unnamed protein product, partial
N0.HOG0000207	reverse transcriptase
N0.HOG0000208	reverse transcriptase
N0.HOG0000209	uncharacterized protein LOC130688071
N0.HOG0000210	unnamed protein product
N0.HOG0000211	unnamed protein product
N0.HOG0000212	unnamed protein product
N0.HOG0000213	unnamed protein product
N0.HOG0000214	unnamed protein product
N0.HOG0000215	unnamed protein product
N0.HOG0000216	unnamed protein product
N0.HOG0000217	unnamed protein product
N0.HOG0000218	unnamed protein product
N0.HOG0000219	unnamed protein product
N0.HOG0000220	unnamed protein product
N0.HOG0000221	uncharacterized protein LOC130692638
N0.HOG0000222	unnamed protein product
N0.HOG0000223	unnamed protein product
N0.HOG0000224	ionotropic receptor 93a-like
N0.HOG0000225	unnamed protein product
N0.HOG0000226	N-acetylneuraminate 9-O-acetyltransferase-like
N0.HOG0000227	N-acetylneuraminate 9-O-acetyltransferase-like
N0.HOG0000228	N-acetylneuraminate 9-O-acetyltransferase-like isoform X1
N0.HOG0000229	unnamed protein product
N0.HOG0000230	uncharacterized protein LOC124199528 isoform X1
N0.HOG0000231	N-acetylneuraminate 9-O-acetyltransferase-like
N0.HOG0000232	uncharacterized protein LOC130703061
N0.HOG0000233	N-acetylneuraminate 9-O-acetyltransferase-like
N0.HOG0000234	bestrophin-4-like
N0.HOG0000235	bestrophin homolog 13-like isoform X2
N0.HOG0000236	bestrophin-2-like
N0.HOG0000237	unnamed protein product
N0.HOG0000238	bestrophin-4-like isoform X1
N0.HOG0000239	bestrophin-4-like
N0.HOG0000240	bestrophin-6-like
N0.HOG0000241	Bestrophin homolog
N0.HOG0000242	uncharacterized protein LOC130700670
N0.HOG0000243	ABC transporter G family member 20-like
N0.HOG0000244	ABC transporter G family member 20-like
N0.HOG0000245	ABC transporter G family member 20-like
N0.HOG0000246	ABC transporter G family member 20-like
N0.HOG0000247	ABC transporter G family member 20-like
N0.HOG0000248	ABC protein, subfamily ABCH
N0.HOG0000249	ABC transporter G family member 20-like
N0.HOG0000250	ABC transporter G family member 20-like
N0.HOG0000251	ABC transporter G family member 20-like
N0.HOG0000252	ATP-dependent DNA helicase pif1-like
N0.HOG0000253	ATP-dependent DNA helicase pif1-like
N0.HOG0000254	unnamed protein product
N0.HOG0000255	uncharacterized protein LOC130696087
N0.HOG0000256	ATP-dependent DNA helicase pif1-like
N0.HOG0000257	unnamed protein product
N0.HOG0000258	unnamed protein product
N0.HOG0000259	unnamed protein product
N0.HOG0000260	unnamed protein product
N0.HOG0000261	unnamed protein product
N0.HOG0000262	unnamed protein product
N0.HOG0000263	unnamed protein product
N0.HOG0000264	unnamed protein product
N0.HOG0000265	serine/threonine-protein kinase/endoribonuclease IRE2
N0.HOG0000266	serine/threonine-protein kinase/endoribonuclease IRE2-like
N0.HOG0000267	unnamed protein product
N0.HOG0000268	Vertebrate gliacolin-like protein
N0.HOG0000269	uncharacterized protein LOC124199751
N0.HOG0000270	uncharacterized protein LOC123468090
N0.HOG0000271	unnamed protein product
N0.HOG0000272	unnamed protein product
N0.HOG0000273	unnamed protein product
N0.HOG0000274	unnamed protein product
N0.HOG0000275	LOW QUALITY PROTEIN: uncharacterized protein LOC123467801
N0.HOG0000276	unnamed protein product
N0.HOG0000277	unnamed protein product
N0.HOG0000278	unnamed protein product
N0.HOG0000279	adhesive plaque matrix protein-like
N0.HOG0000280	adhesive plaque matrix protein-like
N0.HOG0000281	extensin-2-like
N0.HOG0000282	compound eye opsin BCRH2-like
N0.HOG0000283	Uncharacterized protein
N0.HOG0000284	unnamed protein product
N0.HOG0000285	unnamed protein product
N0.HOG0000286	unnamed protein product
N0.HOG0000287	LOW QUALITY PROTEIN: uncharacterized protein LOC123475381
N0.HOG0000288	uncharacterized protein LOC123475712
N0.HOG0000289	uncharacterized protein LOC123474557
N0.HOG0000290	2-domain hemoglobin
N0.HOG0000291	uncharacterized protein LOC130688361
N0.HOG0000292	uncharacterized protein LOC124205471
N0.HOG0000293	unnamed protein product
N0.HOG0000294	DNA-directed RNA polymerase II subunit RPB1-like
N0.HOG0000295	extensin-2-like
N0.HOG0000296	ATP-binding cassette sub-family G member 1-like
N0.HOG0000297	ATP-binding cassette sub-family G member 1-like
N0.HOG0000298	ATP-binding cassette subfamily G member 4-like
N0.HOG0000299	ATP-binding cassette sub-family G member 1-like
N0.HOG0000300	ATP-binding cassette sub-family G member 4-like isoform X1
N0.HOG0000301	ATP-binding cassette sub-family G member 1-like
N0.HOG0000302	secreted RxLR effector protein 161-like
N0.HOG0000303	secreted RxLR effector protein 161-like
N0.HOG0000304	secreted RxLR effector protein 161-like
N0.HOG0000305	secreted RxLR effector protein 161-like
N0.HOG0000306	secreted RxLR effector protein 161-like
N0.HOG0000307	secreted RxLR effector protein 161-like
N0.HOG0000308	secreted RxLR effector protein 161-like
N0.HOG0000309	secreted RxLR effector protein 161-like
N0.HOG0000310	secreted RxLR effector protein 161-like
N0.HOG0000311	secreted RxLR effector protein 161-like
N0.HOG0000312	secreted RxLR effector protein 161-like
N0.HOG0000313	secreted RxLR effector protein 161-like
N0.HOG0000314	secreted RxLR effector protein 161-like
N0.HOG0000315	secreted RxLR effector protein 161-like
N0.HOG0000316	uncharacterized protein LOC124191989
N0.HOG0000317	speckle-type POZ protein B-like
N0.HOG0000318	interferon-induced very large GTPase 1-like
N0.HOG0000319	uncharacterized protein LOC124316131
N0.HOG0000320	uncharacterized protein LOC124328265
N0.HOG0000321	uncharacterized protein LOC124316124
N0.HOG0000322	uncharacterized protein LOC124316750
N0.HOG0000323	uncharacterized protein LOC124209969
N0.HOG0000324	uncharacterized protein LOC116935159
N0.HOG0000325	uncharacterized protein LOC123470616
N0.HOG0000326	uncharacterized protein LOC123470708
N0.HOG0000327	uncharacterized protein LOC124193467
N0.HOG0000328	uncharacterized protein LOC124348957
N0.HOG0000329	uncharacterized protein LOC130694058
N0.HOG0000330	venom allergen 3 homolog
N0.HOG0000331	venom allergen 3 homolog
N0.HOG0000332	venom allergen 3 homolog
N0.HOG0000333	venom allergen 5-like
N0.HOG0000334	cell wall protein DAN4-like
N0.HOG0000335	unnamed protein product
N0.HOG0000336	unnamed protein product
N0.HOG0000337	protein Star-like
N0.HOG0000338	unnamed protein product
N0.HOG0000339	unnamed protein product
N0.HOG0000340	protein Star-like
N0.HOG0000341	unnamed protein product
N0.HOG0000342	unnamed protein product
N0.HOG0000343	unnamed protein product
N0.HOG0000344	cytochrome P450 3A14-like
N0.HOG0000345	cytochrome P450 3A14-like
N0.HOG0000346	cytochrome P450 3A11-like
N0.HOG0000347	cytochrome P450 3A2-like
N0.HOG0000348	glutamate receptor ionotropic, delta-2-like
N0.HOG0000349	ionotropic receptor 93a isoform X1
N0.HOG0000350	glutamate receptor ionotropic, delta-2-like
N0.HOG0000351	PBPe domain-containing protein
N0.HOG0000352	protein spaetzle-like
N0.HOG0000353	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000354	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000355	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000356	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000357	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000358	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000359	Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
N0.HOG0000360	unnamed protein product
N0.HOG0000361	unnamed protein product
N0.HOG0000362	LOW QUALITY PROTEIN: hydroxyproline O-galactosyltransferase GALT3
N0.HOG0000363	beta-1,3-galactosyltransferase 5-like
N0.HOG0000364	unnamed protein product
N0.HOG0000365	beta-1,3-galactosyltransferase 1-like
N0.HOG0000366	unnamed protein product
N0.HOG0000367	unnamed protein product
N0.HOG0000368	uncharacterized protein LOC124208702
N0.HOG0000369	unnamed protein product
N0.HOG0000370	LOW QUALITY PROTEIN: protein translocase subunit SecA-like
N0.HOG0000371	Helicase c-terminal domain containing protein
N0.HOG0000372	uncharacterized protein LOC130700687
N0.HOG0000373	unnamed protein product
N0.HOG0000374	unnamed protein product
N0.HOG0000375	putative gustatory receptor 28b
N0.HOG0000376	uncharacterized protein LOC130691080
N0.HOG0000377	putative gustatory receptor 28a
N0.HOG0000378	putative gustatory receptor 28b
N0.HOG0000379	uncharacterized protein LOC130693108
N0.HOG0000380	unnamed protein product
N0.HOG0000381	uncharacterized protein LOC123468094
N0.HOG0000382	uncharacterized protein LOC123472386
N0.HOG0000383	uncharacterized protein LOC116935257
N0.HOG0000384	uncharacterized protein LOC116936350
N0.HOG0000385	uncharacterized protein LOC123470260
N0.HOG0000386	uncharacterized protein LOC116936007
N0.HOG0000387	uncharacterized protein LOC124202942
N0.HOG0000388	uncharacterized protein LOC123468196
N0.HOG0000389	uncharacterized protein LOC123468666
N0.HOG0000390	uncharacterized protein LOC130691170
N0.HOG0000391	putative nuclease HARBI1
N0.HOG0000392	unnamed protein product
N0.HOG0000393	unnamed protein product
N0.HOG0000394	putative nuclease HARBI1
N0.HOG0000395	putative nuclease HARBI1
N0.HOG0000396	unnamed protein product
N0.HOG0000397	putative nuclease HARBI1
N0.HOG0000398	unnamed protein product
N0.HOG0000399	putative nuclease HARBI1
N0.HOG0000400	speckle-type POZ protein B-like
N0.HOG0000401	uncharacterized protein LOC130688806
N0.HOG0000402	speckle-type POZ protein-like
N0.HOG0000403	uncharacterized protein LOC124198053
N0.HOG0000404	unnamed protein product
N0.HOG0000405	uncharacterized protein LOC130690477
N0.HOG0000406	uncharacterized protein LOC130690479 isoform X1
N0.HOG0000407	uncharacterized protein LOC130690485
N0.HOG0000408	uncharacterized protein LOC130689709
N0.HOG0000409	uncharacterized protein LOC130689665
N0.HOG0000410	uncharacterized protein LOC130702744
N0.HOG0000411	uncharacterized protein LOC130703304
N0.HOG0000412	uncharacterized protein LOC123475709
N0.HOG0000413	uncharacterized protein LOC116934923
N0.HOG0000414	uncharacterized protein LOC123470058
N0.HOG0000415	LOW QUALITY PROTEIN: uncharacterized protein LOC116925320
N0.HOG0000416	unnamed protein product
N0.HOG0000417	MULE domain-containing protein
N0.HOG0000418	unnamed protein product
N0.HOG0000419	unnamed protein product
N0.HOG0000420	unnamed protein product
N0.HOG0000421	unnamed protein product
N0.HOG0000422	unnamed protein product
N0.HOG0000423	unnamed protein product
N0.HOG0000424	unnamed protein product
N0.HOG0000425	uncharacterized protein LOC123467806
N0.HOG0000426	unnamed protein product
N0.HOG0000427	uncharacterized protein LOC116924444
N0.HOG0000428	unnamed protein product
N0.HOG0000429	unnamed protein product
N0.HOG0000430	unnamed protein product, partial
N0.HOG0000431	uncharacterized protein LOC123472611
N0.HOG0000432	unnamed protein product
N0.HOG0000433	unnamed protein product
N0.HOG0000434	unnamed protein product
N0.HOG0000435	unnamed protein product
N0.HOG0000436	unnamed protein product
N0.HOG0000437	unnamed protein product
N0.HOG0000438	MFS-type transporter clz9-like
N0.HOG0000439	uncharacterized protein LOC123466306
N0.HOG0000440	unnamed protein product
N0.HOG0000441	unnamed protein product, partial
N0.HOG0000442	uncharacterized protein LOC130702711
N0.HOG0000443	unnamed protein product
N0.HOG0000444	MFS-type transporter clz9-like
N0.HOG0000445	unnamed protein product
N0.HOG0000446	unnamed protein product
N0.HOG0000447	unnamed protein product
N0.HOG0000448	unnamed protein product
N0.HOG0000449	vascular endothelial growth factor receptor 1-like
N0.HOG0000450	vascular endothelial growth factor receptor 1-like
N0.HOG0000451	LOW QUALITY PROTEIN: prolyl 4-hydroxylase subunit alpha-1-like, partial
N0.HOG0000452	Fe2OG dioxygenase domain-containing protein
N0.HOG0000453	prolyl 4-hydroxylase subunit alpha-1-like
N0.HOG0000454	prolyl 4-hydroxylase subunit alpha-1-like isoform X1
N0.HOG0000455	uncharacterized protein LOC130688539
N0.HOG0000456	prolyl 4-hydroxylase subunit alpha-1-like
N0.HOG0000457	actin, muscle
N0.HOG0000458	actin, muscle
N0.HOG0000459	actin, clone 403
N0.HOG0000460	actin, clone 403-like
N0.HOG0000461	actin, clone 403-like
N0.HOG0000462	unnamed protein product
N0.HOG0000463	uncharacterized protein K02A2.6-like
N0.HOG0000464	uncharacterized protein LOC123475560
N0.HOG0000465	uncharacterized protein LOC123471141
N0.HOG0000466	uncharacterized protein K02A2.6-like
N0.HOG0000467	uncharacterized protein K02A2.6-like
N0.HOG0000468	uncharacterized protein K02A2.6-like
N0.HOG0000469	uncharacterized protein K02A2.6-like
N0.HOG0000470	uncharacterized protein K02A2.6-like
N0.HOG0000471	uncharacterized protein LOC124349747
N0.HOG0000472	uncharacterized protein LOC130690317
N0.HOG0000473	unnamed protein product
N0.HOG0000474	unnamed protein product
N0.HOG0000475	uncharacterized protein LOC123466570
N0.HOG0000476	hypothetical protein GHT06_003725
N0.HOG0000477	unnamed protein product
N0.HOG0000478	unnamed protein product
N0.HOG0000479	unnamed protein product
N0.HOG0000480	unnamed protein product
N0.HOG0000481	Uncharacterized protein
N0.HOG0000482	unnamed protein product
N0.HOG0000483	hemocyte protein-glutamine gamma-glutamyltransferase-like
N0.HOG0000484	hemocyte protein-glutamine gamma-glutamyltransferase-like
N0.HOG0000485	hemocyte protein-glutamine gamma-glutamyltransferase-like
N0.HOG0000486	uncharacterized protein LOC130692629
N0.HOG0000487	unnamed protein product
N0.HOG0000488	uncharacterized protein LOC123466640
N0.HOG0000489	uncharacterized protein LOC123470299
N0.HOG0000490	unnamed protein product
N0.HOG0000491	hypothetical protein GHT06_022566
N0.HOG0000492	glucose dehydrogenase [FAD, quinone]-like
N0.HOG0000493	glucose dehydrogenase [FAD, quinone]
N0.HOG0000494	uncharacterized protein LOC130687681
N0.HOG0000495	death-associated protein kinase 1-like
N0.HOG0000496	unnamed protein product
N0.HOG0000497	brachyurin-like
N0.HOG0000498	brachyurin-like
N0.HOG0000499	brachyurin-like
N0.HOG0000500	brachyurin-like
N0.HOG0000501	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000502	alpha-(1,3)-fucosyltransferase C
N0.HOG0000503	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000504	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000505	N6-adenosine-methyltransferase TMT1A-like
N0.HOG0000506	thiol S-methyltransferase METTL7B-like
N0.HOG0000507	methyltransferase-like protein 7A
N0.HOG0000508	unnamed protein product
N0.HOG0000509	Methyltransferase 7A-like protein
N0.HOG0000510	mucin-4-like
N0.HOG0000511	uncharacterized protein LOC130699581
N0.HOG0000512	unnamed protein product
N0.HOG0000513	glutamate receptor ionotropic, delta-2-like
N0.HOG0000514	PBPe domain-containing protein
N0.HOG0000515	glutamate receptor ionotropic, delta-1-like
N0.HOG0000516	UDP-glycosyltransferase UGT5-like
N0.HOG0000517	UDP-glycosyltransferase UGT5-like
N0.HOG0000518	unnamed protein product
N0.HOG0000519	acyl-CoA Delta-9 desaturase-like
N0.HOG0000520	acyl-CoA Delta-9 desaturase-like
N0.HOG0000521	acyl-CoA Delta-9 desaturase-like
N0.HOG0000522	unnamed protein product
N0.HOG0000523	neurotrophin 1-like
N0.HOG0000524	glutamate receptor ionotropic, delta-2
N0.HOG0000525	uncharacterized protein LOC130702810
N0.HOG0000526	unnamed protein product
N0.HOG0000527	Uncharacterized protein
N0.HOG0000528	uncharacterized protein LOC130685765
N0.HOG0000529	nose resistant to fluoxetine protein 6-like
N0.HOG0000530	nose resistant to fluoxetine protein 6-like
N0.HOG0000531	nose resistant to fluoxetine protein 6-like
N0.HOG0000532	nose resistant to fluoxetine protein 6-like
N0.HOG0000533	nose resistant to fluoxetine protein 6-like
N0.HOG0000534	DNA polymerase eta-like
N0.HOG0000535	claspin-like
N0.HOG0000536	transmembrane protease serine 11D-like
N0.HOG0000537	C1qdc1 protein
N0.HOG0000538	unnamed protein product
N0.HOG0000539	unnamed protein product
N0.HOG0000540	unnamed protein product
N0.HOG0000541	cuticle protein 19-like
N0.HOG0000542	unnamed protein product
N0.HOG0000543	adhesive plaque matrix protein-like
N0.HOG0000544	uncharacterized protein LOC123468841
N0.HOG0000545	uncharacterized protein LOC116934563
N0.HOG0000546	uncharacterized protein LOC123467635
N0.HOG0000547	uncharacterized protein LOC123474257
N0.HOG0000548	uncharacterized protein LOC123468396
N0.HOG0000549	uncharacterized protein LOC123468840
N0.HOG0000550	uncharacterized protein LOC130686614
N0.HOG0000551	integrase core domain protein
N0.HOG0000552	sodium/potassium-transporting ATPase subunit alpha-B-like
N0.HOG0000553	sodium/potassium-transporting ATPase subunit alpha-B-like
N0.HOG0000554	sodium/potassium-transporting ATPase subunit alpha-B-like
N0.HOG0000555	sodium/potassium-transporting ATPase subunit alpha-B-like
N0.HOG0000556	pro-resilin-like
N0.HOG0000557	uncharacterized protein LOC130690343 isoform X1
N0.HOG0000558	larval cuticle protein 9-like
N0.HOG0000559	unnamed protein product
N0.HOG0000560	Uncharacterized protein
N0.HOG0000561	tubulin alpha-1 chain
N0.HOG0000562	tubulin alpha-1 chain-like
N0.HOG0000563	tubulin alpha-1 chain-like
N0.HOG0000564	tubulin alpha chain, testis-specific-like
N0.HOG0000565	tubulin alpha-1 chain-like
N0.HOG0000566	clotting factor G beta subunit-like
N0.HOG0000567	trypsin alpha-3-like
N0.HOG0000568	transmembrane protease serine 9-like
N0.HOG0000569	trypsin-1-like isoform X1
N0.HOG0000570	transmembrane protease serine 11D
N0.HOG0000571	trypsin-1
N0.HOG0000572	unnamed protein product
N0.HOG0000573	unnamed protein product
N0.HOG0000574	unnamed protein product
N0.HOG0000575	Reverse transcriptase domain-containing protein
N0.HOG0000576	putative ankyrin repeat protein RF_0381
N0.HOG0000577	carbonic anhydrase 2-like
N0.HOG0000578	carbonic anhydrase 2-like isoform X1
N0.HOG0000579	unnamed protein product
N0.HOG0000580	carbonic anhydrase 2-like
N0.HOG0000581	carbonic anhydrase 2-like
N0.HOG0000582	carbonic anhydrase-like
N0.HOG0000583	uncharacterized protein LOC124197400
N0.HOG0000584	unnamed protein product
N0.HOG0000585	speckle-type POZ protein-like
N0.HOG0000586	speckle-type POZ protein-like
N0.HOG0000587	unnamed protein product
N0.HOG0000588	pro-resilin-like
N0.HOG0000589	adhesive plaque matrix protein-like
N0.HOG0000590	pro-resilin-like
N0.HOG0000591	melanopsin
N0.HOG0000592	unnamed protein product
N0.HOG0000593	intraflagellar transport protein 122 homolog
N0.HOG0000594	cholinesterase 1-like
N0.HOG0000595	cholinesterase 1-like
N0.HOG0000596	chorion peroxidase-like
N0.HOG0000597	chorion peroxidase-like
N0.HOG0000598	uncharacterized protein LOC130692782
N0.HOG0000599	alpha-(1,3)-fucosyltransferase C
N0.HOG0000600	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000601	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0000602	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like
